source,description,severity,status,ip,hash,timestamp
Suricata,Login for user asmith observed from a new geographic location,Medium,Open,,,2026-03-09T06:39:55
Endpoint,"Outdated software vulnerability detected on FIN-WKSTN14, no known active exploit",Medium,Open,125.116.204.192,,2026-04-07T23:09:38
Zeek,New device registered on the corporate network from 135.77.42.222,Low,Open,135.77.42.222,8dce22c8befa02eb2c6d6f8a9a4fa113e035ee0d649582b82b51c97d2306f247,2026-01-04T14:33:38
SIEM,New device registered on the corporate network from 187.172.4.14,Low,Open,187.172.4.14,27c233ab94c44205eb64de62343cbda4782790966c917fc37f20ba4cdb5f2020,2026-01-24T11:36:38
Firewall,Malicious PowerShell Empire C2 beacon detected communicating with 118.111.109.47,Critical,Open,118.111.109.47,,2026-01-14T17:36:44
Wazuh,Repeated DNS requests to newly registered domain from VPN-GW01,Medium,Open,,,2026-06-02T14:35:03
Endpoint,Suspicious PowerShell script execution detected on MAIL-GW01,High,Open,,,2026-01-12T10:47:41
Windows,"Outdated software vulnerability detected on DB-SRV01, no known active exploit",Medium,Open,57.233.34.171,,2026-08-27T12:09:03
Linux,Scheduled antivirus scan completed on MAIL-GW01 with no threats found,Low,Open,,,2026-08-13T11:52:03
SIEM,Repeated DNS requests to newly registered domain from HR-LAPTOP07,Medium,Open,,,2026-04-13T07:04:24
Windows,New device registered on the corporate network from 202.146.123.117,Low,Open,202.146.123.117,,2026-04-15T07:23:15
Email,"Ransomware encryption activity detected on host MAIL-GW01, mass file rename observed",Critical,Open,,f3749ea8d26e6dfb1529c40566171e1b68bec307bfe5fbb58290c1567768d00f,2026-01-04T06:53:15
Email,System patch applied successfully on FIN-WKSTN14,Low,Open,,,2026-08-30T00:55:15
Endpoint,Scheduled antivirus scan completed on WEB-SRV02 with no threats found,Low,Open,,,2026-03-24T00:26:08
Email,Unauthorized access attempt to sensitive file share on DB-SRV01 by user asmith,High,Open,,,2026-02-15T00:16:34
Sysmon,User jdoe logged out after normal session on WIN-DC01,Low,Open,,,2026-01-31T14:45:15
Sysmon,Firewall blocked unusual outbound traffic from APP-SRV03 to 137.154.210.120,Medium,Open,137.154.210.120,,2026-04-07T09:45:11
Sysmon,New device registered on the corporate network from 216.7.42.83,Low,Open,216.7.42.83,d9a6669b45a3bfd9d030c4116859841961be37c791ccda1086e7b669e52553c1,2026-04-13T14:53:29
Linux,System patch applied successfully on FIN-WKSTN14,Medium,Open,,,2026-08-05T17:43:18
IDS,User r.patel logged out after normal session on HR-LAPTOP07,Low,Open,,,2026-06-25T00:19:29
Sysmon,Routine configuration change applied on FIN-WKSTN14 by svc_backup,Low,Open,,,2026-06-26T13:35:02
Firewall,Multiple failed login attempts detected for user asmith followed by a successful login,High,Open,,,2026-05-14T01:55:39
Endpoint,"Critical CVE exploitation attempt succeeded against WEB-SRV02, remote code execution confirmed",Critical,Open,,06d435f132f40ddb1d7fcb3d48f729d860030c6adb34d88db8c6df5bf89bc437,2026-02-08T22:39:52
Wazuh,Successful VPN login for user jdoe from 51.38.32.94,Low,Open,51.38.32.94,,2026-06-28T04:46:38
Cloud,Unauthorized access attempt to sensitive file share on WIN-DC01 by user svc_sql,High,Open,27.75.60.122,,2026-05-21T10:22:40
Email,Login for user r.patel observed from a new geographic location,Medium,Open,130.170.22.235,,2026-03-07T01:55:01
SIEM,Login for user guest observed from a new geographic location,Medium,Open,,5a7aa98c8ebed550478265c332f10c23842c9779e44501bafe8e45ed9bf72e9b,2026-01-05T02:23:14
Firewall,User k.nguyen logged out after normal session on DB-SRV01,Medium,Open,146.252.61.162,ff90d970b6ddc75cc782d7898d625493ee8f6a041053984e07240f6ad9fbe1a2,2026-01-28T17:21:12
Zeek,Unusual process spawned by Office application on HR-LAPTOP07,Medium,Open,,,2026-07-10T07:59:18
IDS,Scheduled antivirus scan completed on MAIL-GW01 with no threats found,Low,Open,,,2026-04-07T14:38:22
Wazuh,Unusual process spawned by Office application on VPN-GW01,Medium,Open,,,2026-06-18T16:00:37
Linux,Firewall blocked unusual outbound traffic from WEB-SRV02 to 201.103.222.67,Medium,Open,201.103.222.67,,2026-04-05T09:22:27
Sysmon,Data exfiltration detected: large outbound transfer from FIN-WKSTN14 to external IP 97.224.161.242,Critical,Open,97.224.161.242,,2026-02-04T02:18:31
Suricata,Unauthorized access attempt to sensitive file share on HR-LAPTOP07 by user guest,High,Open,49.26.145.160,,2026-06-16T01:06:28
Email,Port scan detected from internal host VPN-GW01,Medium,Open,,,2026-02-21T02:19:51
Firewall,"Ransomware encryption activity detected on host FIN-WKSTN14, mass file rename observed",Critical,Open,,f0f76fede207861541b1419a213d5595eb129abc2d29f438ad66132f9da8b4ff,2026-04-01T09:07:22
IDS,Suspicious outbound connection from WIN-DC01 to known malicious IP 16.35.255.192,High,Open,16.35.255.192,,2026-03-09T23:14:13
Sysmon,User admin logged out after normal session on WIN-DC01,Low,Open,,,2026-08-20T12:15:13
Linux,"Domain controller APP-SRV03 compromised, Mimikatz credential dumping activity detected",Critical,Open,,62e42e3e9ef7748bc5aaef02f3bfe59b43c3a29ecd775fc2a6dda752f3ea3e59,2026-08-20T14:54:04
Zeek,Brute force attack detected against SSH service on MAIL-GW01 from 175.30.1.174,High,Open,175.30.1.174,,2026-06-24T18:43:50
Wazuh,Unusual process spawned by Office application on DB-SRV01,Medium,Open,,,2026-02-26T08:09:09
Endpoint,Firewall blocked unusual outbound traffic from DB-SRV01 to 202.180.246.215,Medium,Open,202.180.246.215,,2026-02-03T13:10:45
Sysmon,Suspicious outbound connection from VPN-GW01 to known malicious IP 38.96.87.255,Medium,Open,38.96.87.255,,2026-05-22T21:21:31
Wazuh,Login for user svc_sql observed from a new geographic location,Medium,Open,,,2026-03-24T19:27:53
Linux,Unauthorized access attempt to sensitive file share on DB-SRV01 by user k.nguyen,High,Open,80.29.224.24,d5b5e7143c50f200529df4648ed7515f29bd07633b7e681634ff5511b96d8ae1,2026-07-28T16:33:51
Firewall,User svc_sql logged out after normal session on WIN-DC01,Low,Open,,7ead6a73a737d6c72ff1d46e5cb4e6b86a411843eed5a795572df6fe80d77ad7,2026-01-02T23:19:35
Windows,Port scan detected from internal host WIN-DC01,Medium,Open,,,2026-05-15T01:44:41
Windows,Suspicious email attachment quarantined for user svc_sql,Medium,Open,,,2026-08-12T02:57:45
Zeek,New device registered on the corporate network from 62.133.15.206,Low,Open,62.133.15.206,,2026-06-22T12:26:01
Windows,Brute force attack detected against SSH service on APP-SRV03 from 51.238.41.245,High,Open,51.238.41.245,,2026-06-12T22:09:14
Linux,Login for user r.patel observed from a new geographic location,Medium,Open,173.145.255.220,,2026-01-17T19:24:46
Sysmon,Routine configuration change applied on WIN-DC01 by asmith,Low,Open,,,2026-02-03T00:18:45
Suricata,Successful VPN login for user asmith from 199.206.127.102,Low,Open,199.206.127.102,,2026-05-02T08:20:06
Email,Brute force attack detected against SSH service on WEB-SRV02 from 178.250.233.5,High,Open,178.250.233.5,,2026-01-30T06:02:39
Firewall,Unauthorized access attempt to sensitive file share on HR-LAPTOP07 by user r.patel,Critical,Open,86.29.46.68,,2026-08-02T20:57:10
Firewall,User svc_sql logged out after normal session on WIN-DC01,Low,Open,,2a92db2c47338f273aac7d643568ed81fb3adf784bfb901178c9b37ec0c89279,2026-05-04T04:22:20
Suricata,Phishing email with malicious attachment hash ffdad3582bdae015 delivered to jdoe,High,Open,30.129.19.181,ffdad3582bdae015e40c69a23574daef485a962db5cc70072e6851cd842b530d,2026-07-11T21:48:10
Suricata,Routine configuration change applied on HR-LAPTOP07 by admin,Low,Open,,,2026-04-20T03:06:57
Email,Brute force attack detected against SSH service on FIN-WKSTN14 from 166.233.21.69,High,Open,166.233.21.69,,2026-06-25T23:13:00
Zeek,Routine configuration change applied on DB-SRV01 by admin,Low,Open,,,2026-02-06T16:39:29
Windows,Repeated DNS requests to newly registered domain from FIN-WKSTN14,Medium,Open,30.238.217.136,,2026-08-16T06:42:15
Linux,New device registered on the corporate network from 95.119.50.152,Low,Open,95.119.50.152,ddf91fcff710da28df3fbed0596fbe77ae49cdbf5692f4565f3df97610b8b551,2026-02-14T06:16:14
Email,Port scan detected from internal host HR-LAPTOP07,Medium,Open,97.31.124.220,,2026-02-28T14:58:31
Firewall,"Ransomware encryption activity detected on host FIN-WKSTN14, mass file rename observed",Critical,Open,,9ab084ce6ebc6921ac49629a500879d31b8b313e90ea77b994c73a6be34dd221,2026-06-23T06:33:02
IDS,Routine configuration change applied on VPN-GW01 by guest,Low,Open,,,2026-05-12T15:41:21
Linux,Repeated DNS requests to newly registered domain from APP-SRV03,Medium,Open,,,2026-05-04T15:06:38
Zeek,"Outdated software vulnerability detected on WEB-SRV02, no known active exploit",High,Open,172.47.195.50,,2026-02-17T22:19:00
Linux,Firewall blocked unusual outbound traffic from VPN-GW01 to 109.2.29.171,Medium,Open,109.2.29.171,,2026-01-10T20:29:00
Sysmon,Data exfiltration detected: large outbound transfer from VPN-GW01 to external IP 73.254.246.83,Critical,Open,73.254.246.83,,2026-08-30T02:44:58
Firewall,Unusual process spawned by Office application on DB-SRV01,Medium,Open,89.201.102.64,,2026-04-12T18:00:22
Cloud,Malware signature 8304c3a69e7bb5d2 detected by antivirus on HR-LAPTOP07,High,Open,55.19.104.244,8304c3a69e7bb5d234466cbad71694a7184f62f25cbfe5abfff8c1676e7c69dc,2026-05-26T06:55:59
Suricata,Informational: password changed successfully for user asmith,Low,Open,142.209.111.95,,2026-08-05T21:06:05
IDS,Scheduled antivirus scan completed on DB-SRV01 with no threats found,Low,Open,,ba7ddc9a0144acc6c2c6f3ae925351f0562c96792e1b05adc534df2c6469df59,2026-06-28T05:47:02
Firewall,Informational: password changed successfully for user svc_sql,Low,Open,112.52.99.234,,2026-04-19T09:47:27
Email,Suspicious outbound connection from WIN-DC01 to known malicious IP 55.95.96.218,High,Open,55.95.96.218,,2026-08-31T07:15:25
IDS,Port scan detected from internal host HR-LAPTOP07,Medium,Open,,,2026-03-09T10:46:33
IDS,Firewall blocked unusual outbound traffic from HR-LAPTOP07 to 139.230.147.96,Medium,Open,139.230.147.96,e9567d5799e68f2bcc5fedd4f0cd29458ce9e9cf2a4f64600bfcdcbcf92d13c5,2026-04-10T03:10:51
Firewall,Phishing email with malicious attachment hash b1cd77f1b048e487 delivered to svc_sql,High,Open,,b1cd77f1b048e4875032cc26d5d89c9d23b486c905f032dd9d55b546f53e6561,2026-03-16T12:29:46
Wazuh,User svc_sql logged out after normal session on VPN-GW01,Low,Open,,,2026-07-04T21:46:40
Windows,Known ransomware hash 414f29e5e3f77652 executed on WEB-SRV02,Critical,Open,59.240.144.34,414f29e5e3f776523d05ac878f34f2a72accd77839232a63b4ac0916cdab473c,2026-06-28T21:07:44
Linux,User admin logged out after normal session on FIN-WKSTN14,Low,Open,,,2026-05-12T10:54:59
Cloud,Unusual process spawned by Office application on VPN-GW01,Medium,Open,71.168.179.123,,2026-05-02T12:46:31
Firewall,Login for user asmith observed from a new geographic location,Medium,Open,,1649646b84d288c5ce28d46286b5d4adc072833d2a2ba847803c7c3359f3b983,2026-06-01T06:59:36
Zeek,User svc_sql logged out after normal session on VPN-GW01,Low,Open,,,2026-02-15T18:35:06
Linux,Successful VPN login for user r.patel from 64.139.125.105,Low,Open,64.139.125.105,c691ef1b0ea9b30b5cb03df624d3f0487fcb9bd583ee54bd0b636914cda156f8,2026-08-02T15:31:27
SIEM,Repeated DNS requests to newly registered domain from DB-SRV01,Medium,Open,,,2026-06-12T08:44:02
Suricata,Informational: password changed successfully for user jdoe,Low,Open,179.17.253.110,,2026-05-30T04:32:29
IDS,"Outdated software vulnerability detected on VPN-GW01, no known active exploit",Medium,Open,10.235.247.38,,2026-03-12T01:30:42
Linux,Port scan detected from internal host FIN-WKSTN14,Medium,Open,,,2026-04-20T10:41:57
Wazuh,Suspicious email attachment quarantined for user asmith,Medium,Open,,,2026-02-24T02:49:45
Windows,Scheduled antivirus scan completed on VPN-GW01 with no threats found,Low,Open,67.126.139.252,434c0db132f504b42720d45f49fdae093411550cde897d582c46c17c52efacc5,2026-06-14T18:02:04
Linux,Informational: password changed successfully for user asmith,Low,Open,,,2026-02-25T09:20:17
IDS,Malware signature 59528bb225e8f8e4 detected by antivirus on WEB-SRV02,High,Open,90.79.222.125,59528bb225e8f8e43f1b9cd4ebab2de81170439c5c27ce2beee3253cd6ca2aaf,2026-07-04T22:41:13
IDS,Successful VPN login for user svc_backup from 130.79.203.21,Low,Open,130.79.203.21,6a1c1bdf6160d8852428c29ed68512da956bdff5dbc0624aa04e4fa3d80e4e31,2026-03-14T21:05:22
Windows,Suspicious email attachment quarantined for user guest,High,Open,63.179.8.117,,2026-07-21T13:05:16
Suricata,Unauthorized access attempt to sensitive file share on MAIL-GW01 by user k.nguyen,High,Open,156.122.224.79,,2026-06-10T16:23:02
Firewall,Routine configuration change applied on WEB-SRV02 by admin,Low,Open,,,2026-07-18T14:11:27
Endpoint,Successful VPN login for user k.nguyen from 111.247.109.7,Low,Open,111.247.109.7,5ad5b726bb4a30a0a6ea72c966382ddaa661ff18d33e5ac70900e94c11a02f3d,2026-05-04T04:25:18
Sysmon,Brute force attack detected against SSH service on WEB-SRV02 from 136.106.229.93,High,Open,136.106.229.93,,2026-02-10T14:20:03
Linux,User r.patel logged out after normal session on MAIL-GW01,Low,Open,,,2026-04-17T23:28:06
Email,System patch applied successfully on VPN-GW01,Low,Open,,,2026-01-09T01:11:32
SIEM,Successful VPN login for user svc_backup from 101.113.23.190,Low,Open,101.113.23.190,,2026-07-03T18:20:11
Zeek,Data exfiltration detected: large outbound transfer from VPN-GW01 to external IP 112.44.79.1,Critical,Open,112.44.79.1,,2026-07-12T08:34:26
Firewall,Routine configuration change applied on DB-SRV01 by r.patel,Low,Open,,,2026-07-15T10:12:58
Windows,Routine configuration change applied on VPN-GW01 by asmith,Low,Open,48.194.84.6,,2026-06-08T11:05:26
Suricata,Firewall blocked unusual outbound traffic from WEB-SRV02 to 57.112.27.51,Medium,Open,57.112.27.51,,2026-05-17T00:38:17
Linux,Login for user jdoe observed from a new geographic location,Medium,Open,,6c0f1cc4dd43e3bb6ad177207d1071214e591ab794cf32286fb7e9b978a31bdf,2026-02-23T06:09:29
Email,Unauthorized access attempt to sensitive file share on HR-LAPTOP07 by user r.patel,High,Open,,,2026-08-25T02:57:47
Firewall,New device registered on the corporate network from 55.196.208.102,Low,Open,55.196.208.102,,2026-04-23T23:07:45
Windows,"Critical CVE exploitation attempt succeeded against WIN-DC01, remote code execution confirmed",Critical,Open,,,2026-01-10T07:03:26
Zeek,Multiple failed login attempts detected for user guest followed by a successful login,High,Open,,,2026-03-07T13:49:07
Zeek,Informational: password changed successfully for user jdoe,Low,Open,,,2026-03-11T22:19:16
IDS,Phishing email with malicious attachment hash fcbf93739dea7d35 delivered to r.patel,High,Open,,fcbf93739dea7d35ea3bc4ffd70986d1a8adcedc818f7a19ed7563a400c2ab21,2026-03-19T01:35:35
Cloud,Known ransomware hash bad670103cf15990 executed on VPN-GW01,Critical,Open,51.81.200.168,bad670103cf1599077183cc48222d0043c69ad098e638fc9d27d8f97c0fcb3e7,2026-06-04T07:33:27
Firewall,Brute force attack detected against SSH service on MAIL-GW01 from 154.42.208.26,High,Open,154.42.208.26,9a42356f724cf71f8d9a41ad086ffa7aef23d2c405356e31df5f4dc093d98ab5,2026-03-21T09:43:20
Sysmon,Suspicious PowerShell script execution detected on MAIL-GW01,High,Open,,,2026-05-08T00:41:37
Windows,User admin logged out after normal session on WEB-SRV02,Low,Open,,,2026-01-25T04:54:55
Linux,User admin logged out after normal session on FIN-WKSTN14,Low,Open,,,2026-08-13T17:50:21
SIEM,Firewall blocked unusual outbound traffic from APP-SRV03 to 19.103.53.104,Medium,Open,19.103.53.104,,2026-07-23T12:49:49
SIEM,System patch applied successfully on DB-SRV01,Low,Open,,,2026-05-12T21:10:37
Sysmon,Unusual process spawned by Office application on VPN-GW01,High,Open,109.6.87.102,,2026-04-26T14:36:35
IDS,Suspicious email attachment quarantined for user k.nguyen,Medium,Open,,,2026-04-22T18:46:56
SIEM,Unauthorized access attempt to sensitive file share on APP-SRV03 by user guest,High,Open,,,2026-06-24T13:13:58
Endpoint,User guest logged out after normal session on DB-SRV01,Low,Open,146.92.199.148,,2026-05-22T02:53:03
Suricata,Suspicious email attachment quarantined for user guest,Medium,Open,,835bda47f683a2ef78a9eae88144907bb9959fe94449c87069408bcf5b4abcf5,2026-05-28T12:40:01
Cloud,Informational: password changed successfully for user admin,Low,Open,,,2026-03-10T13:23:46
Email,Successful VPN login for user r.patel from 77.162.154.206,Low,Open,77.162.154.206,,2026-06-27T10:31:14
Firewall,Multiple failed login attempts detected for user admin followed by a successful login,High,Open,,,2026-06-09T12:44:14
Sysmon,Firewall blocked unusual outbound traffic from APP-SRV03 to 222.232.157.209,Medium,Open,222.232.157.209,,2026-04-01T11:31:12
Endpoint,Data exfiltration detected: large outbound transfer from MAIL-GW01 to external IP 45.38.227.209,Critical,Open,45.38.227.209,,2026-05-25T08:31:57
Endpoint,Firewall blocked unusual outbound traffic from DB-SRV01 to 54.35.183.122,Medium,Open,54.35.183.122,,2026-05-08T15:00:50
Zeek,Brute force attack detected against SSH service on FIN-WKSTN14 from 93.244.35.132,High,Open,93.244.35.132,,2026-07-26T04:04:03
Email,Scheduled antivirus scan completed on WEB-SRV02 with no threats found,Low,Open,,,2026-08-16T04:23:43
Firewall,Routine configuration change applied on APP-SRV03 by r.patel,Low,Open,36.97.126.255,b7fdd13888ad8b203f7f7d83fcc133337bdc1bee1cd0650a39d0e8bbb78e1ae8,2026-08-01T12:59:52
Windows,Repeated DNS requests to newly registered domain from VPN-GW01,Medium,Open,,,2026-07-07T16:26:00
Endpoint,Brute force attack detected against SSH service on HR-LAPTOP07 from 57.161.127.231,High,Open,57.161.127.231,,2026-03-17T13:58:48
Linux,System patch applied successfully on DB-SRV01,Low,Open,136.182.175.82,,2026-03-12T01:36:21
Linux,Unusual process spawned by Office application on WEB-SRV02,Medium,Open,49.190.162.179,,2026-03-14T02:53:58
Suricata,"Domain controller MAIL-GW01 compromised, Mimikatz credential dumping activity detected",Critical,Open,,f601c63907a5c7bc14478d968d0ddc86f80c1e472335f25a58c999833c62f641,2026-03-30T19:07:35
Email,Successful VPN login for user asmith from 205.53.233.230,Low,Open,205.53.233.230,,2026-06-24T15:14:21
Suricata,Data exfiltration detected: large outbound transfer from APP-SRV03 to external IP 98.91.129.41,High,Open,98.91.129.41,,2026-05-30T21:30:26
Linux,Unusual process spawned by Office application on FIN-WKSTN14,Medium,Open,,,2026-01-27T18:06:04
Wazuh,System patch applied successfully on FIN-WKSTN14,Low,Open,,6a92bf0d5b8680fa51798eda18e2a14009c6fcc18cabdda4b86f982e2a304372,2026-08-11T02:34:35
Endpoint,Phishing email with malicious attachment hash a24ea3314625220d delivered to asmith,High,Open,13.113.70.248,a24ea3314625220d7612ca6f6f5f91e502568463265a75c9d96d8b70895212fb,2026-06-17T00:46:26
Email,User jdoe logged out after normal session on APP-SRV03,Low,Open,,,2026-01-26T23:36:35
Cloud,"Domain controller APP-SRV03 compromised, Mimikatz credential dumping activity detected",Critical,Open,142.205.161.211,f6df095a9d349ab4bf20ebd76a7af8aa64a777ff0a3c4a2fe82ec684b1f770ab,2026-02-26T17:56:20
Zeek,Malware signature 66391697cd098649 detected by antivirus on APP-SRV03,High,Open,,66391697cd09864900d2be4ec5ea38e86e954a031afb4ac0dac5a19a114f2244,2026-04-02T06:29:07
Email,New device registered on the corporate network from 30.198.209.110,Low,Open,30.198.209.110,,2026-01-12T04:35:54
Windows,Repeated DNS requests to newly registered domain from VPN-GW01,Medium,Open,20.170.60.82,,2026-04-02T04:31:15
Wazuh,Suspicious email attachment quarantined for user r.patel,Medium,Open,154.47.226.68,,2026-08-31T18:00:27
Suricata,New device registered on the corporate network from 218.246.76.110,Low,Open,218.246.76.110,,2026-01-13T01:19:00
Endpoint,Successful VPN login for user asmith from 118.54.45.36,Low,Open,118.54.45.36,,2026-02-15T02:01:58
Zeek,Scheduled antivirus scan completed on DB-SRV01 with no threats found,Low,Open,,,2026-01-27T09:45:00
SIEM,Port scan detected from internal host DB-SRV01,Medium,Open,,,2026-03-15T03:34:30
Cloud,Phishing email with malicious attachment hash ba6e53976a5fb7cf delivered to r.patel,High,Open,185.156.92.252,ba6e53976a5fb7cf8ea48283cc0268fe8d681df3fdca3453b11283843d61103a,2026-04-21T08:49:30
IDS,Unusual process spawned by Office application on HR-LAPTOP07,Medium,Open,,,2026-03-31T16:06:06
Suricata,"Outdated software vulnerability detected on WIN-DC01, no known active exploit",Medium,Open,,0cbbc0fded2d8b78b8f55761cb172521828e494d857d95272159fd5706223853,2026-05-24T06:40:56
Windows,Suspicious outbound connection from DB-SRV01 to known malicious IP 211.114.211.142,High,Open,211.114.211.142,5801c451f447b8e7e537512c409efccebc8d5f4162b93dcc9b0af606d4e49c74,2026-06-20T12:01:09
Windows,Successful VPN login for user svc_sql from 105.31.5.196,Low,Open,105.31.5.196,,2026-02-21T15:06:34
Windows,System patch applied successfully on HR-LAPTOP07,Low,Open,,,2026-05-24T20:11:33
Zeek,Scheduled antivirus scan completed on APP-SRV03 with no threats found,Low,Open,,,2026-06-05T18:28:02
Cloud,Unusual process spawned by Office application on FIN-WKSTN14,Medium,Open,128.22.227.163,4121343e4429aa7fdd396f1b5c6b2118c5fecae4ada5058d2fa4147f865d10ba,2026-01-02T01:30:48
Email,User admin logged out after normal session on HR-LAPTOP07,Low,Open,184.43.202.185,,2026-04-10T20:16:32
Endpoint,"Outdated software vulnerability detected on HR-LAPTOP07, no known active exploit",Medium,Open,,,2026-05-03T09:35:56
Linux,Multiple failed login attempts detected for user asmith followed by a successful login,High,Open,,,2026-08-17T11:23:35
Wazuh,Successful VPN login for user svc_sql from 217.59.110.20,Low,Open,217.59.110.20,,2026-02-26T01:45:13
Windows,Routine configuration change applied on WEB-SRV02 by k.nguyen,Low,Open,,,2026-02-11T14:25:22
IDS,New device registered on the corporate network from 203.251.11.246,Low,Open,203.251.11.246,,2026-02-06T07:34:40
Firewall,Phishing email with malicious attachment hash 850f6da32780dbbe delivered to jdoe,High,Open,,850f6da32780dbbe5030865571566649e1e74136b9d425fc05b15d325624d3d7,2026-07-22T01:11:31
Wazuh,Suspicious PowerShell script execution detected on MAIL-GW01,High,Open,162.34.13.89,,2026-08-16T12:25:46
Cloud,Routine configuration change applied on HR-LAPTOP07 by svc_sql,Low,Open,,b104bac3998524f9f24591acf1de011087cba2b84cc37d487ab1b95c11f1d67d,2026-08-29T01:01:35
SIEM,Port scan detected from internal host DB-SRV01,Medium,Open,78.143.61.189,,2026-07-25T23:15:58
Endpoint,Port scan detected from internal host HR-LAPTOP07,Medium,Open,,,2026-07-03T09:54:12
Cloud,"Outdated software vulnerability detected on FIN-WKSTN14, no known active exploit",Medium,Open,,,2026-01-11T14:10:13
SIEM,Repeated DNS requests to newly registered domain from APP-SRV03,High,Open,,,2026-08-10T03:57:09
Zeek,Firewall blocked unusual outbound traffic from HR-LAPTOP07 to 58.188.118.197,Medium,Open,58.188.118.197,794dc1d0f4c3ed0e56977ab74090bd34da04cb4d82ccbd260fd346aa3868c479,2026-01-16T18:03:57
IDS,Phishing email with malicious attachment hash 00dcc213c6226a01 delivered to svc_sql,High,Open,,00dcc213c6226a012c18292a1ed56ed41b7880fee9c51e4cd44b02ffc15280c8,2026-06-26T06:20:30
Email,Scheduled antivirus scan completed on MAIL-GW01 with no threats found,Low,Open,,,2026-07-21T17:23:13
